number,Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
54879,Montenegro,petroleum_n_other_liquids,2019,0.0155027245,0,11.9806,627.896,77.29690514567152,4.051084048657543,1.121183
54881,Montenegro,renewables_n_other,2019,0.019321228,0.018457992,11.9806,627.896,77.29690514567152,4.051084048657543,0
54888,Morocco,all_energy_types,2019,0.896850428975055,0.06406431593566074,275.648,36467.5,24.593142633168025,3.2536076045356936,59.02569629
54889,Morocco,coal,2019,0.21503006792850493,0,275.648,36467.5,24.593142633168025,3.2536076045356936,17.33004367753509
54890,Morocco,natural_gas,2019,0.03955298395455,0.003862703983005,275.648,36467.5,24.593142633168025,3.2536076045356936,2.213949612
54891,Morocco,petroleum_n_other_liquids,2019,0.5853752875,1.4659836065573e-4,275.648,36467.5,24.593142633168025,3.2536076045356936,39.481703
54893,Morocco,renewables_n_other,2019,0.056892089592,0.060055013592,275.648,36467.5,24.593142633168025,3.2536076045356936,0
54894,Mozambique,all_energy_types,2019,0.24634026197587583,0.6860343368316907,38.10749,30386.6,8.106871514940002,6.464352860182495,7.785808405
54895,Mozambique,coal,2019,0.00116348310927583,0.3464175026008907,38.10749,30386.6,8.106871514940002,6.464352860182495,0.09317851853685452
54896,Mozambique,natural_gas,2019,0.0546866656666,0.2122273062308,38.10749,30386.6,8.106871514940002,6.464352860182495,2.491483886
54897,Mozambique,petroleum_n_other_liquids,2019,0.0716135252,0,38.10749,30386.6,8.106871514940002,6.464352860182495,5.201146
54899,Mozambique,renewables_n_other,2019,0.118876588,0.127389528,38.10749,30386.6,8.106871514940002,6.464352860182495,0
54900,Namibia,all_energy_types,2019,0.0743727378746098,0.008868384,24.41,2494.82,29.810863258515564,3.04681433324907,3.90852628
54901,Namibia,coal,2019,7.1083027460979e-4,0,24.41,2494.82,29.810863258515564,3.04681433324907,0.04832385193009024
54902,Namibia,natural_gas,2019,0,0,24.41,2494.82,29.810863258515564,3.04681433324907,0
54903,Namibia,petroleum_n_other_liquids,2019,0.0535407476,0,24.41,2494.82,29.810863258515564,3.04681433324907,3.86020242796824
54905,Namibia,renewables_n_other,2019,0.02012116,0.008868384,24.41,2494.82,29.810863258515564,3.04681433324907,0
